clinic_id,clinic_name,address,site_url,site_host,doctors_count,has_live_promo,live_promo_count,status,matched_source_impls,promo_sync_sources,robots_blocked_sources
a67bc9c3-9ddd-4fd2-8839-f70b87282c76,ConstantaClinic,"Минск, пр-т Мира, 1",,,3,false,0,no_site_url,,,
1a60139f-756a-415c-a1f4-3425a29ce042,CRYSTAL,"Минск, ул. Мясникова, 70",,,1,false,0,no_site_url,,,
cd169226-205c-43f6-9206-d1d1decc4afb,Dental Expert,"Минск, ул. Городецкая, 22",,,1,false,0,no_site_url,,,
f13c1ed7-31ba-4570-b522-ac5796d4264d,Dental Home,"Минск, ул. Берестянская, 7",,,2,false,0,no_site_url,,,
e890dc76-4191-4f73-be48-c8bfc0cc7124,Dental Spa,"Минск, пр-т Победителей, 125",,,2,false,0,no_site_url,,,
39d2318d-3fa9-4c76-a918-d3499347e45c,Dentalove,"Минск, ул. Аэродромная, 30",,,3,false,0,no_site_url,,,
9648aaef-2208-4fb9-9812-a2386357c114,DentHealth,"Минск, ул. Ольшевского, 1/1",,,1,false,0,no_site_url,,,
9ebd1a03-0ea4-405a-876a-fa3854f65bda,Dermiss,"Минск, ул. Притыцкого, 160",,,7,false,0,no_site_url,,,
f5ad456c-5f8c-407c-ac01-63a61d2d9ec2,Dimeda,"Минск, ул. Петра Мстиславца, 8",,,12,false,0,no_site_url,,,
7c15c601-4c67-4cd9-9acb-1b240b7a5538,Doctor Face,"Минск, ул. Раковская, 25/2",,,4,false,0,no_site_url,,,
7ff84574-280e-4102-8ecf-7b3d77b104cc,DORSUM,"Минск, ул. Киселёва, 12",,,1,false,0,no_site_url,,,
5f30a4d7-4d64-4c16-8da6-54940e0e90b5,E-clinic,Минск,https://e-clinic.by,e-clinic.by,29,true,3,covered_live,eclinic,eclinic,
4f5f0402-4855-4a5a-8359-ab3b7d60156c,Easydentist,"Минск, ул. Короля, 26",,,1,false,0,no_site_url,,,
3ddd49e6-b289-4118-ac06-f42978bb93c2,EVACLINIC,"Минск, ул. Притыцкого, 78-847",,,1,false,0,no_site_url,,,
8ffbd600-63bc-469d-b9b9-258285058a53,Femin(e)Clinic,"Минск, ул. Сурганова, 27",,,8,false,0,no_site_url,,,
08af8cab-beb9-49b5-b561-ab7b0c2a325d,Gravita Family Clinic,"Минск, ул. Белинского, 23",,,19,false,0,no_site_url,,,
c6987efb-8862-4608-80cf-5e4c681c6786,Green Hill,"Минск, ул. 1-я Базисная, 33",,,2,false,0,no_site_url,,,
96455a7b-36d0-40bf-b3bf-a81da785ebf3,Groom_om,"Минск, ул. Руссиянова, 32/1",,,1,false,0,no_site_url,,,
8063b862-8fb0-4f95-993e-219afba5c066,HappyDerm,"Минск, ул. Денисовская, 31",,,27,false,0,robots_blocked_impl,happyderm,,happyderm
c72ec98a-c09b-45ae-a3fb-2a9d0f0bdee7,Healthy Smile,"Минск, ул. Братская, 4",,,3,false,0,no_site_url,,,
ba8db7cd-5850-4b8b-8768-db5a8083c902,I'Сliniс,"Минск, ул. Рафиева, 55",,,2,false,0,no_site_url,,,
7eb6bff2-75e5-4bd9-ae9a-d09f374ccac6,IMRED,"Минск, ул. Семашко, 12А",,,28,false,0,no_site_url,,,
71d65247-8ad6-494c-bedb-8e4be4f673d1,Innova Clinic,"Минск, ул. Москвина, 4-1",,,7,false,0,no_site_url,,,
1c5fa799-ceb6-4937-a82c-63cb55849783,IQ Dental Stream,"Минск, ул. Шишкина, 20/1",,,18,false,0,no_site_url,,,
d43d0473-528c-4ba2-813c-261d6140d669,KANO,"Минск, пр-т Победителей, 104",,,6,false,0,no_site_url,,,
aaa029c6-78d5-452a-a46a-c745be64d494,Kinezios_pro,"Минск, ул. Притыцкого, 83",,,3,false,0,no_site_url,,,
1d792fe9-56b1-4ae8-bec4-206935222a06,KODERM,"Минск, ул. Щорса, 4а",,,1,false,0,no_site_url,,,
c2a66bee-ead7-4d9b-a874-ddb212be0e77,Labriz,"Минск, ул. Якуба Коласа, 37",,,2,false,0,no_site_url,,,
d0315d0a-295d-49ac-bb3d-06e01df1816f,Linii,"Минск, ул. Олешева, 1",,,2,false,0,no_site_url,,,
7eed8e23-5430-445e-9c51-42f065beca48,MedArt,"Минск, ул. Платонова, 1-В",,,20,false,0,source_in_sync_no_live_promo,medart,medart,
c938e059-816a-408e-9161-c1f942f0ab12,MetaClinic,"Минск, ул. Гинтовта, 28В",,,4,false,0,no_site_url,,,
